"","date_t","producto","variable"
"88",1999-04-01,"Frituras_Helados_y_Dulces_rp",0.960084087866203
"89",1999-04-01,"Aceites_y_Grasas_rp",0.986779212358601
"90",1999-04-01,"Arroz_rp",1.0267062891316
"91",1999-04-01,"Carnes_Preparadas_rp",1.0387519286863
"92",1999-04-01,"Salsas_Condimentos_y_Sopas_rp",1.09010607760878
"93",1999-04-01,"pollo_y_huevo_rp",1.14982876187187
"94",1999-04-01,"Bebidas_No_Alcoholicas_rp",1.16420208240454
"95",1999-04-01,"Cerdo_rp",1.18845032235336
"96",1999-05-01,"Frutas_rp",0.503431392523801
"97",1999-05-01,"Papa_rp",0.520772580920808
"98",1999-05-01,"Hortalizas_rp",0.531590183894035
"99",1999-05-01,"Tuberculos_sin_papa_rp",0.707766427521055
"100",1999-05-01,"Chocolate_y_Cafe_rp",0.779499901538107
"101",1999-05-01,"Azucar_y_Panela_rp",0.844375479687159
"102",1999-05-01,"Pescados_y_Mariscos_rp",0.846456279845208
"103",1999-05-01,"Cereales_sin_Arroz_rp",0.872544176430435
"104",1999-05-01,"Res_rp",0.885586804953412
"105",1999-05-01,"Legumbres_rp",0.888530952095239
"106",1999-05-01,"Lacteos_rp",0.903705719352686
"107",1999-05-01,"Frituras_Helados_y_Dulces_rp",0.958014989580412
"108",1999-05-01,"Aceites_y_Grasas_rp",0.962727153624994
"109",1999-05-01,"Arroz_rp",1.02302666712935
"110",1999-05-01,"Carnes_Preparadas_rp",1.0356791788346
"111",1999-05-01,"Salsas_Condimentos_y_Sopas_rp",1.09694451319505
"112",1999-05-01,"pollo_y_huevo_rp",1.10907104462153
"113",1999-05-01,"Cerdo_rp",1.16142464103077
"114",1999-05-01,"Bebidas_No_Alcoholicas_rp",1.16166958129487
"115",1999-06-01,"Hortalizas_rp",0.516063160809594
"116",1999-06-01,"Frutas_rp",0.522388558288823
"117",1999-06-01,"Papa_rp",0.569680761361053
"118",1999-06-01,"Tuberculos_sin_papa_rp",0.692674577457083
"119",1999-06-01,"Chocolate_y_Cafe_rp",0.771650165219083
"120",1999-06-01,"Azucar_y_Panela_rp",0.83426015922428
"121",1999-06-01,"Legumbres_rp",0.834883934145833
"122",1999-06-01,"Pescados_y_Mariscos_rp",0.839384902384373
"123",1999-06-01,"Cereales_sin_Arroz_rp",0.87100630563878
"124",1999-06-01,"Res_rp",0.877317949769547
"125",1999-06-01,"Lacteos_rp",0.889912620346403
"126",1999-06-01,"Frituras_Helados_y_Dulces_rp",0.951906189396249
"127",1999-06-01,"Aceites_y_Grasas_rp",0.951943578651964
"128",1999-06-01,"Arroz_rp",1.01382778793742
"129",1999-06-01,"Carnes_Preparadas_rp",1.02812937152383
"130",1999-06-01,"pollo_y_huevo_rp",1.09178358915465
"131",1999-06-01,"Salsas_Condimentos_y_Sopas_rp",1.10637114139132
"132",1999-06-01,"Cerdo_rp",1.13610340677819
"133",1999-06-01,"Bebidas_No_Alcoholicas_rp",1.18778955409166
"134",1999-07-01,"Hortalizas_rp",0.514790025200728
